,fold1,fold2,fold3,fold4,fold5,mean,std,cv
ratio_EA,0.06740810288688377,0.08157851165779088,0.07802328141792814,0.07793451800002207,0.08972924962058773,0.0789347327166425,0.007186174649433103,0.09103944996215815
ratio_EQ,0.059305808346151165,0.06037495242588512,0.06543665195817196,0.06559352688839108,0.06277193255331026,0.06269657443438192,0.0025609865528225593,0.040847312248341115
ratio_LT,0.05543114333281278,0.038663015023856544,0.049263918864518065,0.04226184303648088,0.03760628246484412,0.04464524054450248,0.00676287549923789,0.15148032392157548
ratio_WE,0.04121981792398471,0.051959954968127504,0.04358377555788132,0.04547514456803754,0.039644683791917906,0.0443766753619898,0.004282498041656855,0.09650335467277855
ratio_SS,0.028366990168584235,0.026837890585632428,0.03330058778305186,0.030166109742140637,0.03168639312188963,0.030071594280259756,0.002298061020718331,0.07641966033795798
version_ord,0.025794335417718136,0.02076932557828598,0.020036650237540466,0.026476162636196253,0.024864597265838898,0.023588214227115944,0.0026606807538381927,0.1127970404296055
log_area,0.016215934080008692,0.016388321908501258,0.01542540993217984,0.017626271409149352,0.01705474328453818,0.016542136122875466,0.0007503678286589371,0.04536099951573262
ratio_MR,0.012634388910572739,0.015143659582851821,0.012460641928527293,0.015685275452383116,0.01371258467255566,0.013927310109378125,0.001299139405998112,0.09327999418375273
ratio_IP,0.009374926761638983,0.008837984955766457,0.006512424278552407,0.008811666730655192,0.010657907981685784,0.008838982141659764,0.001342337249996718,0.15186559136374236
