ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersion,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorArea,ProjectTypes,RegistrationDate,UnitOfMeasurement
10097302,No,Songdo Block D20/21,Block D20/21,New Songdo City,,400-340,South Korea,v2.2,32,Certified,6/8/2012,Yes,2850000,,6/15/2007,sq ft
1000015531,No,COEX Convention and Exhibition Center,"Samsung-dong, Gangnam-gu, Seoul, South Korea",Seoul,,135-731,South Korea,v2009,52,Silver,12/22/2011,Yes,2604770,,5/4/2011,sq ft
1000034370,No,Daishin Finance Center,"343 samil-daero, jung-gu,",Seoul,,04538,South Korea,v2009,60,Gold,1/24/2017,Yes,453840,,7/26/2013,sq ft
10098253,No,Block D22,Block D22,New Songdo City,,400-340,South Korea,v2.2,32,Certified,1/31/2012,Yes,2200000,,6/19/2007,sq ft
1000035511,No,Nike Gangnam,814-1 Yeoksam-Dong Gangnam-gu,Seoul,,135-826,South Korea,v2009,53,Silver,11/26/2014,Yes,20405,,9/13/2013,sq ft
10877062,No,Starbucks Yoido IFC 1F,"23 & 23-1, Yoido-Dong, Yongdongpo-Gu IFC",Seoul,,153-023,South Korea,v1.0 pilot,,Certified,10/4/2013,Yes,1270,,10/31/2013,sq ft
10355643,No,Samsung Global Engineering Center TowerC,"367-4, Sang il-Dong, Gang Dong-Ku",Seoul,,134-090,South Korea,v2.2,45,Gold,5/23/2012,Yes,227746,,12/23/2008,sq ft
1000023357,No,SK Networks Daechi-dong New HQ,"948 Daechi-dong, Gangnam-gu",Seoul,,135-280,South Korea,v2009,63,Gold,4/16/2014,Yes,512775,,3/26/2012,sq ft
1000038780,No,Facebook Seoul,23rd Floor 736-1 Yeoksam-dong,Seoul,,135-983,South Korea,v2009,62,Gold,7/16/2014,Yes,10411,,1/28/2014,sq ft
10098238,No,Songdo Block D19,Block D19,New Songdo City,,400-340,South Korea,v2.2,28,Certified,5/31/2012,Yes,1500000,,6/19/2007,sq ft
10098242,No,Blocks D13/14,Blocks D13/14,New Songdo City,,400-340,South Korea,v2.2,29,Certified,2/17/2012,Yes,2000000,,6/19/2007,sq ft
1000041157,No,Google KR Renovation with Addtn on 23F,22F/23F Gangnam Finance Building,Seoul,,135-984,South Korea,v2009,52,Silver,8/24/2015,Yes,33972,,4/7/2014,sq ft
10516879,No,F21/22/23 Residential,Songdo-dong,Incheon,,406-840,South Korea,v2.2,,Certified,10/13/2015,Yes,2735350,,6/18/2009,sq ft
10365054,No,ING Tower,,Seoul,,135-080,South Korea,v2008,59,Gold,9/7/2009,Yes,718126,,1/13/2009,sq ft
10101091,No,C8-2 Office Project,Block C8-2,New Songdo City,,402-704,South Korea,v2.0,34,Gold,4/6/2012,Yes,1326126,,6/25/2007,sq ft
1000016993,No,Tangjung Samsung Trapalace,809 MyeongAm-ri,Asan Si,,121-763,South Korea,v2009,46,Certified,2/4/2014,Yes,596678,,7/11/2011,sq ft
1000002830,No,State Tower Namsan,6-11 Hoehyeon-dong 2-ga,Seoul,,100-876,South Korea,v2009,67,Gold,11/15/2011,Yes,719026,,12/4/2009,sq ft
10342241,No,Korea Samsung Green Tomorrow,,Gyeonggi-do,,,South Korea,v2.2,55,Platinum,9/29/2009,Yes,7761,,11/26/2008,sq ft
1000011860,No,POSCO ENERGY Future Energy Campus,,Incheon,,,South Korea,v2009,85,Platinum,4/9/2012,Yes,93041,,1/3/2011,sq ft
1000014239,No,BoAML Seoul Office 27th Floor LEED CI,"Seoul Finance Center, 27th Floor",Seoul,,100-768,South Korea,v2009,64,Gold,12/30/2011,Yes,19848,,4/5/2011,sq ft
1000004894,No,Keimyung Univ Dongsan Medical Center,,Daegu,,,South Korea,v2009,45,Certified,11/12/2018,Yes,1920228,,2/21/2010,sq ft
1000026591,No,Gangnam Finance Centre Recertification,"40th Floor, Gangnam Finance Center",Gangnam Gu,,135-984,South Korea,v2009,82,Platinum,3/25/2013,Yes,2274894,,8/13/2012,sq ft
1000012155,No,Kukdong Building Seoul,"60-1 Chungmuro 3, Ga Jung-Gu",Seoul,,100-013,South Korea,v2009,66,Gold,10/28/2011,Yes,810010,,1/12/2011,sq ft
1000060863,No,Majestar City Office Tower One,1501-1 Seocho-dong,Seoul,,06655,South Korea,v2009,81,Platinum,12/12/2017,Yes,350629,,8/17/2015,sq ft
1000052181,No,Google Campus Seoul,Daechi Dong S Tower (Autoway Tower),Seoul,,135-847,South Korea,v2009,62,Gold,8/25/2015,Yes,20286,,11/13/2014,sq ft
1000024157,No,GRAN SEOUL,"119-1 Cheong-jin Dong, Jongno-gu, Seoul, Korea",Seoul,,110-130,South Korea,v2009,62,Gold,1/17/2014,Yes,1370431,,4/25/2012,sq ft
1000056585,No,Bureau Veritas Korea CPS,"126 Beolmal-ro, Dongan-gu, Anyang-si, Gyeonggi-do, Korea",Anyang,,431-060,South Korea,v2009,87,Platinum,3/2/2016,Yes,36271,,4/6/2015,sq ft
1000057706,No,Concert Hall in Incheon Art Center,"80-9, Song-do dong, yeon-su gu",Incheon,,406-840,South Korea,v2009,51,Silver,8/17/2016,Yes,257408,,5/13/2015,sq ft
1000042839,No,Golden Tower,"Golden Tower, 511 Samseong-ro, Gangnam-gu",Seoul,,135-745,South Korea,v2009,63,Gold,4/3/2015,Yes,312976,,5/29/2014,sq ft
